2026-01-17T17:45:01.099Z [DEBUG] Watching for changes in setting files C:\Users\danil\.claude...
2026-01-17T17:45:01.106Z [DEBUG] [init] configureGlobalMTLS starting
2026-01-17T17:45:01.106Z [DEBUG] [init] configureGlobalMTLS complete
2026-01-17T17:45:01.106Z [DEBUG] [init] configureGlobalAgents starting
2026-01-17T17:45:01.106Z [DEBUG] [init] configureGlobalAgents complete
2026-01-17T17:45:01.155Z [DEBUG] Using bash path: "C:\Program Files\Git\bin\bash.exe"
2026-01-17T17:45:01.163Z [DEBUG] [LSP MANAGER] initializeLspServerManager() called
2026-01-17T17:45:01.163Z [DEBUG] [LSP MANAGER] Created manager instance, state=pending
2026-01-17T17:45:01.163Z [DEBUG] [LSP MANAGER] Starting async initialization (generation 1)
2026-01-17T17:45:01.167Z [DEBUG] [STARTUP] Loading MCP configs...
2026-01-17T17:45:01.168Z [DEBUG] Found 0 plugins (0 enabled, 0 disabled)
2026-01-17T17:45:01.168Z [DEBUG] Total LSP servers loaded: 0
2026-01-17T17:45:01.168Z [DEBUG] [LSP SERVER MANAGER] getAllLspServers returned 0 server(s)
2026-01-17T17:45:01.168Z [DEBUG] LSP manager initialized with 0 servers
2026-01-17T17:45:01.168Z [DEBUG] [STARTUP] MCP configs loaded in 1ms
2026-01-17T17:45:01.169Z [DEBUG] LSP server manager initialized successfully
2026-01-17T17:45:01.169Z [DEBUG] LSP notification handlers registered successfully for all 0 server(s)
2026-01-17T17:45:01.174Z [DEBUG] [STARTUP] Running setup()...
2026-01-17T17:45:01.193Z [DEBUG] Loading skills from: managed=C:\ProgramData\ClaudeCode\.claude\skills, user=C:\Users\danil\.claude\skills, project=[]
2026-01-17T17:45:01.228Z [DEBUG] installed_plugins.json doesn't exist, returning empty V2 object
2026-01-17T17:45:01.231Z [DEBUG] Error log sink initialized
2026-01-17T17:45:01.240Z [DEBUG] Writing to temp file: C:\Users\danil\.claude\todos\d4129214-f392-40d8-9204-5d276786fe0e-agent-d4129214-f392-40d8-9204-5d276786fe0e.json.tmp.36068.1768671901240
2026-01-17T17:45:01.245Z [DEBUG] Temp file written successfully, size: 2 bytes
2026-01-17T17:45:01.245Z [DEBUG] Renaming C:\Users\danil\.claude\todos\d4129214-f392-40d8-9204-5d276786fe0e-agent-d4129214-f392-40d8-9204-5d276786fe0e.json.tmp.36068.1768671901240 to C:\Users\danil\.claude\todos\d4129214-f392-40d8-9204-5d276786fe0e-agent-d4129214-f392-40d8-9204-5d276786fe0e.json
2026-01-17T17:45:01.246Z [DEBUG] File C:\Users\danil\.claude\todos\d4129214-f392-40d8-9204-5d276786fe0e-agent-d4129214-f392-40d8-9204-5d276786fe0e.json written atomically
2026-01-17T17:45:01.266Z [DEBUG] getPluginSkills: Processing 0 enabled plugins
2026-01-17T17:45:01.266Z [DEBUG] Total plugin skills loaded: 0
2026-01-17T17:45:01.266Z [DEBUG] Total plugin commands loaded: 0
2026-01-17T17:45:01.266Z [DEBUG] Registered 0 hooks from 0 plugins
2026-01-17T17:45:01.307Z [DEBUG] Loaded 0 unique skills (managed: 0, user: 0, project: 0, legacy commands: 0)
2026-01-17T17:45:01.307Z [DEBUG] [STARTUP] setup() completed in 133ms
2026-01-17T17:45:01.307Z [DEBUG] [STARTUP] Loading commands and agents...
2026-01-17T17:45:01.308Z [DEBUG] getSkills returning: 0 skill dir commands, 0 plugin skills, 0 bundled skills
2026-01-17T17:45:01.314Z [DEBUG] Total plugin agents loaded: 0
2026-01-17T17:45:01.317Z [DEBUG] [STARTUP] Commands and agents loaded in 10ms
2026-01-17T17:45:01.317Z [DEBUG] [STARTUP] Running showSetupScreens()...
2026-01-17T17:45:01.641Z [DEBUG] [render] initYoga starting
2026-01-17T17:45:01.670Z [DEBUG] Writing to temp file: C:\Users\danil\.claude.json.tmp.36068.1768671901670
2026-01-17T17:45:01.670Z [DEBUG] Preserving file permissions: 100666
2026-01-17T17:45:01.673Z [DEBUG] Temp file written successfully, size: 1057 bytes
2026-01-17T17:45:01.673Z [DEBUG] Applied original permissions to temp file
2026-01-17T17:45:01.673Z [DEBUG] Renaming C:\Users\danil\.claude.json.tmp.36068.1768671901670 to C:\Users\danil\.claude.json
2026-01-17T17:45:01.674Z [DEBUG] File C:\Users\danil\.claude.json written atomically
2026-01-17T17:45:01.705Z [DEBUG] [Claude in Chrome] Found chrome profiles: Default, Profile 1, Profile 2
2026-01-17T17:45:01.747Z [DEBUG] [render] initYoga complete
2026-01-17T17:45:01.777Z [DEBUG] [Claude in Chrome] Found brave profiles: Default
2026-01-17T17:45:01.833Z [DEBUG] [keybindings] KeybindingSetup initialized with 45 bindings, 0 warnings
2026-01-17T17:45:01.939Z [DEBUG] [keybindings] Skipping file watcher - user customization disabled
2026-01-17T17:45:01.986Z [DEBUG] Writing to temp file: C:\Users\danil\.claude.json.tmp.36068.1768671901986
2026-01-17T17:45:01.987Z [DEBUG] Preserving file permissions: 100666
2026-01-17T17:45:01.989Z [DEBUG] Temp file written successfully, size: 1057 bytes
2026-01-17T17:45:01.989Z [DEBUG] Applied original permissions to temp file
2026-01-17T17:45:01.989Z [DEBUG] Renaming C:\Users\danil\.claude.json.tmp.36068.1768671901986 to C:\Users\danil\.claude.json
2026-01-17T17:45:01.991Z [DEBUG] File C:\Users\danil\.claude.json written atomically
2026-01-17T17:45:01.992Z [DEBUG] [Claude in Chrome] Found edge profiles: Default
2026-01-17T17:45:01.994Z [DEBUG] [Claude in Chrome] Extension not found in any browser
2026-01-17T17:45:02.223Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:02.282Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:02.322Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:02.365Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:02.410Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:02.459Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:02.497Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:02.542Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:02.577Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:02.616Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:02.658Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:02.699Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:02.739Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:02.777Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:02.819Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:02.858Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:02.909Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:02.961Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:03.017Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:03.065Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:03.108Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:03.145Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:03.146Z [DEBUG] Ripgrep first use test: PASSED (mode=builtin, path=C:\Users\danil\.local\bin\claude.exe)
2026-01-17T17:45:03.187Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:03.229Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:03.267Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:03.304Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:03.349Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:03.386Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:03.426Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:03.462Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:03.502Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
2026-01-17T17:45:03.538Z [DEBUG] High write ratio: blit=0, write=1729 (100.0% writes), screen=36x120
